Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-05-24,140.079,140.873,136.257,138.391,377827.92126869
2024-05-27,138.391,140.377,137.498,138.739,203744.27112942
2024-05-28,138.788,140.476,137.796,138.193,434923.05537735
2024-05-29,140.973,141.965,128.563,129.357,1279244.4722554
2024-05-31,129.456,131.293,125.585,129.357,933201.54369694
2024-06-03,130.548,134.718,130.052,133.279,527128.24196283
2024-06-04,132.534,134.222,131.095,131.442,462046.31630928
2024-06-05,131.541,132.584,130.598,132.236,323538.08599375
2024-06-06,133.527,134.023,131.541,131.541,226839.38483118
2024-06-07,131.541,136.704,130.995,133.874,377027.12680808
2024-06-10,133.974,134.271,131.442,133.03,233574.11660935
2024-06-11,134.023,136.555,132.286,133.477,389490.30902336
2024-06-12,133.527,135.165,130.102,134.023,381735.1938633
2024-06-13,133.08,134.817,131.045,131.988,245000.79882467
2024-06-14,130.548,133.626,129.854,132.832,328836.42418597
2024-06-17,132.832,136.455,132.832,135.066,316089.18657712
2024-06-18,135.264,136.952,134.52,135.214,433462.48686428
2024-06-19,135.016,137.547,134.817,137.2,276189.47666607
2024-06-20,137.6,138.4,135.4,137.2,292176
2024-06-21,136.75,138.65,135.7,135.95,646749
2024-06-24,136,143.5,136,143.15,535196
